Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
117,Farmers Queries in Kisan Call Centre (KCC) from Barmer district of Rajasthan for the month of April 2015,e69c2fbd-dc77-482e-8190-77dd7ee4ed37,2020-09-21,0,0
118,Farmers Queries in Kisan Call Centre (KCC) from Agar district of Madhya Pradesh for the month of September 2015,901f7f75-3b0f-4923-9263-9ec472b67086,2020-09-21,0,0
119,Farmers Queries in Kisan Call Centre (KCC) from Jalor district of Rajasthan for the month of January 2015,ed31c7f5-4a7a-4ae1-a307-3458dca2201c,2020-09-21,0,0
120,Farmers Queries in Kisan Call Centre (KCC) from Rajouri district of Jammu and Kashmir for the month of May 2015,55907938-d3bf-4ab1-bd84-5f630957f909,2020-09-21,0,0
121,Farmers Queries in Kisan Call Centre (KCC) from Vellore district of Tamil Nadu for the month of July 2015,62d5b05c-1048-4daa-adc2-71c241b4131b,2020-09-21,0,0
122,Farmers Queries in Kisan Call Centre (KCC) from Karur district of Tamil Nadu for the month of September 2015,bc48fec0-6a22-4541-88b4-f5ea3e3908ac,2020-09-21,0,0
123,Farmers Queries in Kisan Call Centre (KCC) from The Nilgiris district of Tamil Nadu for the month of April 2015,081570ee-853e-442d-ad8d-11644f44ce85,2020-09-21,0,0
124,Farmers Queries in Kisan Call Centre (KCC) from Nagapattinam district of Tamil Nadu for the month of January 2015,a933e095-de99-4298-ad36-990c09e18e7a,2020-09-21,0,0
125,Farmers Queries in Kisan Call Centre (KCC) from Faridkot district of Punjab for the month of August 2015,d3c223d5-0e74-44a2-9a0f-38289d3dbe33,2020-09-21,0,0
126,Farmers Queries in Kisan Call Centre (KCC) from Kolar district of Karnataka for the month of September 2015,b36747f6-0d7a-4921-9957-d9de0ec5961f,2020-09-21,0,0
127,Farmers Queries in Kisan Call Centre (KCC) from Keonjhar district of Odisha for the month of July 2015,803aeb35-4c36-41f3-a6a8-049b0e297848,2020-09-21,0,0
128,Farmers Queries in Kisan Call Centre (KCC) from Chikmagalur district of Karnataka for the month of December 2015,ce4c1ed3-26a9-4f03-91e6-95237f0d3329,2020-09-21,0,0
129,Farmers Queries in Kisan Call Centre (KCC) from Rayagada district of Odisha for the month of September 2015,363f39e7-e563-4fc4-8189-3e0bd541290c,2020-09-21,0,0
130,Farmers Queries in Kisan Call Centre (KCC) from Sirohi district of Rajasthan for the month of June 2015,fe294078-cc7b-4e79-93ca-0965eb2261d3,2020-09-21,0,0
131,Farmers Queries in Kisan Call Centre (KCC) from Dhar district of Madhya Pradesh for the month of June 2015,47f22a8f-39d4-432d-a831-07935bc7695a,2020-09-21,0,0
132,Farmers Queries in Kisan Call Centre (KCC) from East Khasi Hills district of Meghalaya for the month of September 2015,5eceb146-9e48-4bde-abd1-b774a4c7e600,2020-09-21,0,0
133,Farmers Queries in Kisan Call Centre (KCC) from Thoubal district of Manipur for the month of April 2015,26058307-0560-4e82-98ad-d96421567bec,2020-09-21,0,0
134,Farmers Queries in Kisan Call Centre (KCC) from Erode district of Tamil Nadu for the month of August 2015,027d1918-3676-4236-8615-e0ff7e8b01f1,2020-09-21,0,0
135,Farmers Queries in Kisan Call Centre (KCC) from Bhopal district of Madhya Pradesh for the month of March 2015,7fd628eb-1a06-4b56-8a01-0c2e5dad5cf7,2020-09-21,0,0
136,Farmers Queries in Kisan Call Centre (KCC) from Kodagu (Coorg) district of Karnataka for the month of April 2015,8181dc48-68be-4070-974a-7b1b89f930c2,2020-09-21,0,0
137,Farmers Queries in Kisan Call Centre (KCC) from Balangir district of Odisha for the month of March 2015,0f88d59a-0002-4df2-a8c1-f1744625e419,2020-09-21,0,0
138,Farmers Queries in Kisan Call Centre (KCC) from Bangalore (Rural) district of Karnataka for the month of September 2015,0ebfdc63-66aa-4337-85e1-3497550998ad,2020-09-21,0,0
139,Farmers Queries in Kisan Call Centre (KCC) from Faridkot district of Punjab for the month of November 2015,fe745f7d-aad5-445b-9d5a-532a27ce32b0,2020-09-21,0,0
140,Farmers Queries in Kisan Call Centre (KCC) from Bijnor district of Uttar Pradesh for the month of December 2015,ac87c97c-bd4b-4c13-b4d1-de5bf71d5037,2020-09-21,0,0
141,Farmers Queries in Kisan Call Centre (KCC) from Ri Bhoi district of Meghalaya for the month of May 2015,157115eb-cbbb-4a54-94fa-c19895823b63,2020-09-21,0,0
142,Farmers Queries in Kisan Call Centre (KCC) from Hamirpur district of Uttar Pradesh for the month of September 2015,8ec8dd0b-f823-47e1-b692-93865122c568,2020-09-21,0,0
143,Farmers Queries in Kisan Call Centre (KCC) from Lucknow district of Uttar Pradesh for the month of June 2015,16dc325c-154b-4df9-8a3f-462d8b71864d,2020-09-21,0,0
144,Farmers Queries in Kisan Call Centre (KCC) from Jalgaon district of Maharashtra for the month of September 2015,56d52c4b-1e4b-485e-93d6-e983557db75d,2020-09-21,0,0
145,Farmers Queries in Kisan Call Centre (KCC) from Bijapur district of Karnataka for the month of August 2015,22cea7e7-0c47-46d3-975c-241d3a7bad21,2020-09-21,0,0
146,Farmers Queries in Kisan Call Centre (KCC) from Jaunpur district of Uttar Pradesh for the month of October 2015,64f0e719-3d19-4904-a5cd-8ee916910012,2020-09-21,0,0
147,Farmers Queries in Kisan Call Centre (KCC) from Jalaun district of Uttar Pradesh for the month of May 2015,5bdc7422-7e40-46ac-82c9-d0a3878e72b9,2020-09-21,0,0
148,Farmers Queries in Kisan Call Centre (KCC) from Panna district of Madhya Pradesh for the month of November 2015,cba39887-c5eb-4a84-b7f4-0af32531ef27,2020-09-21,0,0
149,Farmers Queries in Kisan Call Centre (KCC) from Madurai district of Tamil Nadu for the month of August 2015,374597d1-1e9f-4fc1-be51-45b61936a83a,2020-09-21,0,0
150,Farmers Queries in Kisan Call Centre (KCC) from Bhandara district of Maharashtra for the month of November 2015,ac5393b2-b774-4c90-ae9a-b3f05273260f,2020-09-21,0,0
151,Farmers Queries in Kisan Call Centre (KCC) from Jagatsinghapur district of Odisha for the month of August 2015,dfb1fe1d-0428-41c6-9cfb-bed76e33ae54,2020-09-21,0,0
152,Farmers Queries in Kisan Call Centre (KCC) from Firozabad district of Uttar Pradesh for the month of April 2015,37437748-a860-4c9e-9953-19b0be80b783,2020-09-21,0,0
153,Farmers Queries in Kisan Call Centre (KCC) from Sultanpur district of Uttar Pradesh for the month of November 2015,1a31cdf8-14d6-42cb-9ad3-4adfaf63e738,2020-09-21,0,0
154,Farmers Queries in Kisan Call Centre (KCC) from Dhule district of Maharashtra for the month of May 2015,72a1cd58-428a-41d2-b424-d76e24dddbc7,2020-09-21,0,0
155,Farmers Queries in Kisan Call Centre (KCC) from Umaria district of Madhya Pradesh for the month of March 2015,7fda29df-c11a-4308-b812-5f5d44d5d79c,2020-09-21,0,0
156,Farmers Queries in Kisan Call Centre (KCC) from Chhatarpur district of Madhya Pradesh for the month of July 2015,5f159f11-3e6c-4ac8-b64d-8b0707692d82,2020-09-21,0,0
157,Farmers Queries in Kisan Call Centre (KCC) from Farrukhabad district of Uttar Pradesh for the month of August 2015,85ce1247-a3e3-41c2-b32b-aaa7e9760a3e,2020-09-21,0,0
158,Farmers Queries in Kisan Call Centre (KCC) from Mokokchung district of Nagaland for the month of November 2015,7dff3b43-34a5-4717-be19-5ec9a6dfaa75,2020-09-21,0,0
159,Farmers Queries in Kisan Call Centre (KCC) from Nagpur district of Maharashtra for the month of July 2015,a3e298f9-01c0-4dc8-acab-ffef2c03806e,2020-09-21,0,0
160,Farmers Queries in Kisan Call Centre (KCC) from Dungarpur district of Rajasthan for the month of January 2015,59816a78-2860-4323-9ce2-c11c15aaaba2,2020-09-21,0,0
161,Farmers Queries in Kisan Call Centre (KCC) from Kishtwar district of Jammu and Kashmir for the month of April 2015,b8a3abd8-eef0-4946-8d84-fc841005fae6,2020-09-21,0,0
162,Farmers Queries in Kisan Call Centre (KCC) from Dindigul district of Tamil Nadu for the month of January 2015,9d09cc0d-6e89-49f1-9574-2ee1d88926b0,2020-09-21,0,0
163,Farmers Queries in Kisan Call Centre (KCC) from Pathankot district of Punjab for the month of April 2015,b17f3070-e410-44e7-8a98-0a6e2745eab8,2020-09-21,0,0
