Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
68,The State-wise Details of Projects Sanctioned for Development of State Roads under Economic Importance and Inter-State Connectivity (EI & ISC) scheme during 2013-14 to 2015-16 (Ministry of Road Transport and Highways) - Punjab,edc65f34-497f-4731-aa37-b481d7ffc733,2023-12-06,428,0
69,List of National Highway (NH) projects undertaken by Punjab PWD and NHAI in Punjab indicating the status of each project (in reply to Unstarred Question on 17.12.2018) (From : Ministry of Road Transport and Highways),794f1648-d81a-4d95-8cc3-b253e1e4a2e7,2023-12-05,407,0
70,State/UT-wise Number of Persons Injured in Road Accidents in India from 2015 to 2017 (From : Ministry of Road Transport and Highways) - Rajasthan,70d99923-f69f-4211-9d0c-d70a51ceda2d,2023-12-05,432,0
71,State/UT-wise Number of Road Accidents in India from 2015 to 2017 (From : Ministry of Road Transport and Highways) - Sikkim,c22ac018-4202-4f8a-9d1a-73437cf65ef5,2023-12-05,289,0
72,"District-wise Details of Major National Highway Projects Costing More than Rs.100 Crore to be Completed by March, 2019 in the State of Karnataka (in reply to Unstarred Question on 07.01.2019) (From : Ministry of Road Transport and Highways)",bae77e38-4a12-4627-a3f6-56dc27f75088,2023-12-05,186,0
73,Project-wise Details of the ongoing/sanctioned development projects in the state of Kerala (in reply to Unstarred Question on 07.01.2019) (From : Ministry of Road Transport and Highways),8a14f12f-9c87-40f1-a1e0-a065f3275f4e,2023-12-05,108,0
74,State/UT-wise performance of State Road Transport Undertakings from 2013-14 to 2015-16 (From : Ministry of Road Transport and Highways) - Tamil Nadu,d988f8a2-30f1-4f43-b86a-4be316b31dfe,2023-12-05,327,0
75,"Year-wise Land acquired, Total Expenditure incurred by the National Highways Authority of India for acquiring the land and average cost per hectare of land acquisition from 2013-14 to 2017-18 (From : Ministry of Road Transport and Highways) - Telangana",c399c3e8-ef60-4441-9cf8-36ae322ccd19,2023-12-05,168,0
76,Regional Office/State-wise Details of plantation carried out under Harit Rajmarg Scheme as on 30.11.2018 (From : Ministry of Road Transport and Highways) - Tripura,dc500cf4-10d1-40d6-93e7-634d053f6526,2023-12-05,140,0
77,State/UT-wise Details of the Funds allocated and Expenditure incurred for development of National Highways from 2015-16 to 2017-18 (From : Ministry of Road Transport and Highways) - Uttar Pradesh,216a15ef-0fc1-41e3-92a9-fb2a332686d0,2023-12-05,321,0
78,State/UT-wise Persons killed according to Load Condition of Involved Vehicle 2017 (From : Ministry of Road Transport and Highways) - Uttarakhand,0ab20232-be75-40d5-86f6-63e436bd7238,2023-12-05,172,0
79,Reasons for road accidents in India during the calendar year 2017 (From : Ministry of Road Transport and Highways) - West Bengal,d7976414-dd3b-4570-890d-960f6f529eb8,2023-12-05,290,0
80,State/UT-wise Details of the Funds allocated and Expenditure incurred for for Maintenance & Repair work of National Highways from 2015-16 to 2017-18 (From : Ministry of Road Transport and Highways) - Andaman and Nicobar Islands,408316f0-9263-4ef5-a626-2551bc08a066,2023-12-05,220,0
81,Details of Total Land acquired and Total Compensation paid by the NHAI in the country from 2014-15 to 2018-19 (From : Ministry of Road Transport and Highways) - Chandigarh,1d6ea5ae-d001-46a3-89a3-97e4c6e5a80e,2023-12-05,276,0
82,Year-wise Details of State roads notified as New National Highways from 2014-15 to 2018-19 (From : Ministry of Road Transport and Highways) - Dadra and Nagar Haveli,e8f4b614-e0b1-4d1c-92f4-cf48d32f84dc,2023-12-05,253,0
83,Year-wise Allocations of Funds for Development and Maintenance of National Highways for the State of Uttar Pradesh from 2015-16 to 2018-19 (From : Ministry of Road Transport and Highways),16ce42c4-efd8-488e-81fa-8341228e44eb,2023-12-05,153,0
84,State /UT-wise Details of Funds utilized for development of National Highways from 2015-16 to 2017-18 (From : Ministry of Road Transport and Highways) - Daman and Diu,0b1911a9-ed1f-418e-9e91-e42bd393de24,2023-12-05,382,0
85,State-wise Details of the major Projects which are about to get completed by March 2019 (From : Ministry of Road Transport and Highways) - Lakshadweep,691e3729-6693-46b4-9843-fa18cb55ef61,2023-12-05,67,0
86,"State/UT-wise Details of Projects Awarded under Bharatmala Pariyojana (in reply to Starred Question on December 24, 2018) (From : Ministry of Road Transport and Highways) - Delhi",0299870b-e6bb-4e7f-a039-0c9d3c65e9fe,2023-12-05,246,0
87,State/UT-wise Total Number of Persons Killed in Road Accidents in Rural Areas from 2014 to 2016 (From: Ministry of Road Transport and Highways) - Puducherry,c4936861-d455-48e4-a293-8e13a81c5279,2023-12-03,291,0
88,State/UT-wise Total Number of Road Accidents on National Highways from 2014 to 2016 (From: Ministry of Road Transport and Highways) - Ladakh,675bfea3-b102-45a9-b1a3-6619d5436174,2023-12-03,449,0
89,State/UT-wise Total Number of Persons Killed in Road Accidents on National Highways from 2014 to 2016 (From: Ministry of Road Transport and Highways) - Andhra Pradesh,5671303d-83de-449d-a212-46e226d02a21,2023-12-03,414,0
90,State/UT-wise Number of Persons Killed in Road Accidents in India from 2014 to 2016 (From: Ministry of Road Transport & Highways) - Arunachal Pradesh,bae1783c-c1b4-42e6-b0e4-fba68210aa98,2023-12-03,383,0
91,State/UT-wise Number of Persons Injured in Road Accidents in India from 2014 to 2016 (From: Ministry of Road Transport & Highways) - Assam,11e08cc0-02b4-4082-9fc7-b0359d5eb4e1,2023-12-03,395,0
92,State-wise Details of the Ongoing Projects for Construction and Development of the National Highways (in reply to Starred question for 05-03-2018) (From: Ministry of Road Transport and Highways) - Bihar,2bf887f5-809b-488b-9a46-b99f728b2fde,2023-12-03,321,0
93,State/UT-wise Total Number of Persons Injured in Road Accidents from 2015 to 2017 (From : Ministry of Road Transport and Highways) - Chhattisgarh,a4392497-2725-4d50-b00e-92d2cff5ccc3,2023-11-22,293,0
94,Project-wise details of National Highways Projects in various Stages of Progress along with Time Frame for Completion in the State of Andhra Pradesh (in reply to Unstarred Question on 11.02.2019) (From : Ministry of Road Transport and Highways),4a12fbfe-b20e-41bf-a3bc-1f349aa2ca38,2023-11-22,325,0
95,Year-wise details of Rate of National Highway Construction in Terms of km per day from 2009-10 to 2018-19 (From : Ministry of Road Transport and Highways) - Goa,9f4a128a-e5ce-466a-901b-3bfb9a477803,2023-11-21,349,0
96,Year-wise details of Funds Allocated for National Highways Constructed with Concerned State PWD from 2015-16 to 2017-18 (From : Ministry of Road Transport and Highways) - Gujarat,bdc18d95-e765-43aa-a694-f244fc2e2eb6,2023-11-21,412,0
97,Year-wise Progress of the Construction of the National Highways in Kilometres in Kerala and Andhra Pradesh from 2015-16 to 2017-18 (From : Ministry of Road Transport and Highways),5d79c603-b484-4ac8-adf8-0ce9b3bb3a78,2023-11-21,229,0
98,"Work of 4-Laning of Cuttack - Angul - Sambalpur Stretch of NH-42 (new NH-55) in the State of Odisha (in reply to Unstarred Question on 19 September, 2020) (From: Ministry of Road Transport and Highways)",89876304-1a09-4af9-8d1a-f905919e6e15,2023-11-21,319,0
99,Item-wise Fund Allocated for Development of NHs and Expenditure Incurred during 2019-20 and 2020-21 (From: Ministry of Road Transport and Highways) - Haryana,c41971fa-1bea-4b84-9c00-003b02a72bd7,2023-11-21,285,0
100,"State-wise list of HAM Projects which yet to Secure Financial Closure (in reply to Unstarred Question on 19 September, 2020) (From: Ministry of Road Transport and Highways) - Himachal Pradesh",d0205d99-894d-4943-996a-648531ba3a4d,2023-11-21,357,0
101,"Number of NH Projects taken up for Renovation/Repairs/Completion along with Fund Allocation and Expenditure in State of Andhra Pradesh (in reply to Unstarred Question on 19 September, 2020) (From: Ministry of Road Transport and Highways)",b95ca74b-e464-4786-8b2d-c270293e85fb,2023-11-21,198,0
102,Scheme-wise Accrual/Allocation of Funds and Funds Released/Expenditure Incurred under CRIF and EI&ISC Schemes during 2019-20 and 2020-21 (From: Ministry of Road Transport and Highways) - Jharkhand,6ba06106-6a36-4323-9b4c-a5f287c9f52e,2023-11-21,158,0
103,Year-wise Number of Persons Killed in Road Accidents in the Country from 2017 to 2019 (From: Ministry of Road Transport and Highways) - Karnataka,08a14b3a-1768-4317-9d0c-733f7e654021,2023-11-21,317,0
104,"State-wise details of Agricultural Goods which were Transported (in reply to Unstarred Question on 22 September, 2020) (From: Ministry of Communications) - Kerala",0119de85-7e16-42e3-a5b3-32f1e240603c,2023-11-21,414,0
105,"State/UT-wise Overbridges, Small Bridges & Culverts Constructed on NHs (in reply to Unstarred Question on 15 March, 2021) (From: Ministry of Road Transport and Highways) - Madhya Pradesh",d0032e52-fe9e-4986-94ac-150684098fee,2023-11-20,390,0
106,State-wise Number of Toll Plazas in NHs in Existence and Collecting Toll at Present and the Number of Toll Plazas Removed after their Toll Collection Period Expired during 2020-21 (From: Ministry of Road Transport and Highways ) - Maharashtra,da910f3d-10fa-4d1e-86db-0ad881206dd6,2023-11-20,380,0
107,"Port Connectivity Roads under Bharatmala/Sagarmala (in reply to Unstarred Question on 15 March, 2021) (From: Ministry of Road Transport and Highways) - Manipur",d6e0bb99-3b96-4529-9d92-4167d9d9f12a,2023-11-20,311,0
108,Year-wise Total Number of Road Accidents & Persons Killed on all Roads in the Country from 2016 to 2019 (From: Ministry of Road Transport and Highways) - Meghalaya,1280005d-287c-40c9-8b7c-a27c88fc9108,2023-11-20,98,0
109,State/UT-wise National Highways Projects which are under Construction as on Feb-2021 (From: Ministry of Road Transport and Highways) - Mizoram,5834f7ea-d132-4335-8c36-db2df59c1af5,2023-11-20,206,0
