Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
57,"State/UT-wise Sanction of PoS Devices in Tier 5 & 6 Centres Regarding ""Promotion of Digital Payments by NABARD"" (in reply to Starred question on 02 January 2018) (From: Ministry of Finance) - Manipur",88fc70e9-6f48-4aef-9a58-6a294167fe07,2023-12-14,223,0
58,State/UT and Gender-wise Number of Borrowers under Stand Up India Scheme As on 27.12.2017 (From: Ministry of Finance) - Meghalaya,d16a3c4f-118a-490b-9763-de5de637ba61,2023-12-14,53,0
59,State/ UT-wise Allocation and Release of Local Bodies Grants for Panchayati Raj Institutions (PRIs) under Finance Commission Award from 2014-15 to 2017-18 (From: Ministry of Panchayati Raj ) - Mizoram,a962c135-a865-4e25-b61b-71238d9ad371,2023-12-14,170,0
60,State/UT-wise MEDP & LEDP - Number of Programs Conducted and Participants Covered during 2017-18 and 2018-19 (From: Ministry of Finance),246dde2d-083a-421e-9720-f84f435458c0,2023-12-13,241,0
61,Funds Provided by Banks under JLGs in Different States during 2017-18 and 2018-19 (From: Ministry of Finance) - Odisha,265b4d52-cf90-480f-a07c-fa836b7c09bb,2023-12-13,274,0
62,State/UT-wise details for Loans Sanctioned/Funds or Grants Disbursed under TDF are Provided during 2017-18 and 2018-19 (From: Ministry of Finance) - Punjab,1bcb35b9-9d88-4eda-b847-e161f2cfdd14,2023-12-13,210,0
63,Funds Released to the Successor State of Andhra Pradesh during 2014 (From: Ministry of Finance),c0b05846-82df-4caf-b008-56526afbe152,2023-12-13,305,0
64,Swachh Bharat Cess Collection in Previous from 2015-16 to 2018-19 (From: Ministry of Finance) - Rajasthan,5acd609e-cbd9-499d-bf1e-720865d883d3,2023-12-13,374,0
65,"Amount Involved in Frauds Reported by Scheduled Commercial Banks and Select Financial Institutions, by the Year of Occurrence and Reporting from 2013-14 to 2019-20 (From: Ministry of Finance) - Sikkim",c4db39ac-b51d-4a51-9020-dc094abc8202,2023-12-13,148,0
66,"Central Board of Direct Taxes (CBDT), Total Pendency at Supreme Court, High Court and CESTAT during 2016-17 and 2018-19 (From: Ministry of Finance) - Tamil Nadu",c9d5fc38-73b9-4d5b-a964-c1aee6800740,2023-12-12,457,0
67,"Details of Monetary limits for filling before appeals Appellate Tribunal/Courts, rasied by Central Board of Direct Taxes (CBDT) (in reply to Unstarred Question on 23 July, 2019) (From: Ministry of Finance) - Telangana",6ffb7d29-073a-4e25-b070-35f81156ccc3,2023-12-12,400,0
68,North Eastern States-wise Report of loans Extended under Pradhan Mantri Mudra Yojana from 2015 to 2019 (From: Ministry of Finance) - Tripura,52e7f5a9-300a-4fad-a40a-8eb53d211624,2023-12-12,234,0
69,Details of fund disbursed under education loan scheme inception by national backward classes Finance and development corporation from 2013-14 to 2015-16 (From: Ministry of Social Justice & Empowerment) - Uttar Pradesh,b9a8c0ef-e508-4f8f-8d39-3001de972aee,2023-12-07,187,0
70,"State-wise sanction, disbursement amount & beneficiaries of Educational loan by National Scheduled Castes Finance and Development Corporation from 2013-14 to 2016-17 (From: Ministry of Social Justice & Empowerment) - Uttarakhand",09aa0a59-007d-4ba5-bbf6-999a7ed0b97a,2023-12-07,131,0
71,"Details of Gross Advances, Gross NPAs and GNPA Ratio of Public Sector Banks (PSBs) as on 31.12.2015 (From: Ministry of Finance) - West Bengal",8370ed64-be11-4928-91e7-182a78bf8f62,2023-12-07,362,0
72,State-wise break-up of number of borrowers who availed loans scheme under Micro Units Development Refinance Agency (MUDRA) Scheme from 01.04.16 to 22.04.16 (From: Ministry of Finance) - Andaman and Nicobar Islands,e47112d6-b91d-48d6-b555-967d4176edf3,2023-12-07,301,0
73,Wilful Defaulters of Public Sector Banks and Action there off as on 31.12.2015 (From: Ministry of Finance) - Chandigarh,2f2a7d0b-55ff-49d8-a1f3-07a0dc07a14d,2023-12-07,320,0
74,Number of the External/ Independent/ Shareholder Directors of Public Sector Banks (PSBs) from 2004 to 2012 (From: Ministry of Finance) - Dadra and Nagar Haveli,7284f7a4-3bc1-4411-a1ae-b48f96bdb3ba,2023-12-07,233,0
