Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
87,State/UT-wise Details of Wholly Leased-in Operational Holdings in the Country as per Agriculture Census 2015-16 - Chhattisgarh,e9610ab7-e28e-48db-bfb1-2aca7561d334,2023-12-09,231,0
88,Census of India Slum Reporting Cities Having Population 1 Lakh or above 2011 & 2011(From : Ministry of Housing & Urban Poverty Alleviation) - Goa,afe31916-982d-4cae-be83-342cfbb542e9,2023-12-07,200,0
89,Census of India Number of Slum Reporting Cities Having Population 1 Lakh or above 2001 & 2011(From : Ministry of Housing & Urban Poverty Alleviation) - Gujarat,dbf7690c-5579-42ac-8dbc-5d46a051aff6,2023-12-07,75,0
90,Slum Population (regarding National Policy on Slums in Cities) as per Census 2001 and 2011 (From: Ministry of Housing and Urban Poverty Alleviation) - Haryana,14762bf1-80aa-4cea-aae9-c6521b988b9b,2023-12-07,234,0
91,India/State/UT wise Percentage of Households by Ownership Status of Census houses (Urban) during 2011 (From: Ministry of Housing and Urban Poverty Alleviation) - Himachal Pradesh,7028dc35-5af0-4e82-a86a-b84fb782d37e,2023-12-07,466,0
92,State-wise Child Sex Ratio (Age Group 0-6 Years) as per Census 2001 and 2011 (From: Ministry of Women and Child Development) - Jharkhand,d65e2562-234e-4ea9-aa36-9aaba5f7124f,2023-12-07,144,0
93,Scheduled Tribe (ST) Population in Tamil Nadu as per Census 2011 (From: Ministry of Tribal Affairs),31ab2c07-cb40-4577-8e7e-7502b59fcb9e,2023-12-07,485,0
94,Houseless Households in India as per Census - 2011 (From: Ministry of Housing and Urban Poverty Alleviation),dc5b2db3-4deb-4ba8-b462-8331be8b4f04,2023-12-07,393,0
95,Total population of widowed in India Census - 2011(From : Ministry of Women and Child Development),27fdef80-a2b3-4b4e-ba33-a3d6e3bfd10f,2023-12-07,119,0
96,State-wise comparative data of landless agricultural workers as per Census 2001 and 2011(From : Ministry of Labour and Employment) - Madhya Pradesh,bf5058b8-14a0-42ae-b601-f71c4a231d33,2023-12-07,447,0
97,State-wise Operated Area for Others as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Maharashtra,0bf44f22-90c2-42a7-b372-e51a25896883,2023-12-06,126,0
98,State-wise Operated Area for Scheduled Tribes as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Manipur,639f5a22-64dd-4971-8e9e-08e4ff4440eb,2023-12-06,346,0
99,State-wise Number of Operational Holders by Social Group as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Meghalaya,0d69a2f2-c6f1-4e7b-a3ef-a20f99dd3084,2023-12-06,323,0
100,State-wise Operated Area for All Social Group as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Mizoram,53f298ef-e9f9-44c6-b18d-7fe2d80f512d,2023-12-06,255,0
101,State-wise Net Irrigated Area by Social Group as per Agriculture Census 2010-11 (Ministry of Agriculture and Farmers Welfare) - Nagaland,420ae0b5-0e8d-4c6f-9f8c-d32b069d3ba1,2023-12-06,177,0
102,"Literacy Rate in the country, as per the Census - 2011 (Ministry of Human Resource Development)",af5c1772-72c8-4d1e-a108-6a14966b6036,2023-12-06,275,0
103,IBPS BPO Seats Distribution across States/ UTs based on Population Percentage as per Census 2011 (Ministry of Electronics and Information Technology) - Punjab,0f298bcc-ea5e-41a8-994e-859b4a458eed,2023-12-06,117,0
104,State-wise Matric/Secondary and Above Educational Level in Census 2011 (Ministry of Human Resource Development) - Rajasthan,8b72c2e5-f5c6-405d-b8ed-3fd68bbabbb4,2023-12-06,210,0
105,State/ UT-wise Population of Persons with Disabilities as per Census during 2011  (Department of Empowerment of Persons with Disabilities ) - Sikkim,4cfbbae8-a1c7-48c3-bc47-2dcc5d98fd47,2023-12-06,205,0
106,State/ UT-wise and Sex-wise Mean Age at Marriage during Census 2001 & 2011 (Ministry of Home Affairs) - Tamil Nadu,4338c739-5289-48a2-a2d7-6cf92bb3bed5,2023-12-06,447,0
107,State/ UT-wise Households using Electricity as main Source for Lighting in the Country as per Census during during 2011 (Ministry of Power) - Telangana,46d0aa24-af3b-4f17-95cb-c9a91cdc6fd0,2023-12-06,105,0
108,Additional 61 Districts With lowest Child Sex Ratio (CSR) Selected from States having Child Sex Ratio Census (CSR) below 918 from 2001 to 2011  (Ministry of Women and Child Development) - Tripura,c3d7f5d6-8c14-473d-854a-d21a7676e3d6,2023-12-06,208,0
109,Distribution of 500 Seats in Small States and UTs as per Muslim Population of 2011 census (Ministry of External Affairs) - Uttar Pradesh,de0fc1c7-6d0c-4641-96a3-0e146bec8ae8,2023-12-06,64,0
110,State/ UT-wise Houseless Population in India as per census 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Uttarakhand,62a119e2-949c-44a5-8ca6-08b3a2d0f4e2,2023-12-06,182,0
111,State/ UT-wise List of 100 Gender Critical Districts Selected Covering  with Low Child Sex Ratio Census (CSR)from 2001 to 2011   (Ministry of Women and Child Development) - West Bengal,d3aafdb9-2f87-4206-ab74-a7702655ac35,2023-12-06,498,0
112,"State/ UT-wise Slum Households by Main Source of Drinking Water and Location in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Andaman and Nicobar Islands",511cf6a2-f6a9-4e99-960b-3c10829131ce,2023-12-06,471,0
113,"State-wise the Total Number of Census Towns in the Country in Census, 2011 (Ministry of Urban Development) - Chandigarh",2beac528-ae84-443e-a26f-cc6a9e96c401,2023-12-06,382,0
114,"India/State/Ut wise Slum Population in Census, 2011 (Ministry of Housing and Urban Poverty Alleviation ) - Dadra and Nagar Haveli",f96ff98a-8b39-4e26-9e62-9b5e60f0eb1a,2023-12-06,258,0
